,games_played,player_id,season,min,fgm,fga,fg3m,fg3a,ftm,fta,oreb,dreb,reb,ast,stl,blk,turnover,pf,pts,fg_pct,fg3_pct,ft_pct,player_name
200,54,484,2018,16:20,1.93,4.65,0.85,2.35,0.48,0.87,0.81,3.28,4.09,0.96,0.33,0.37,0.59,1.57,5.19,0.414,0.362,0.553,D.J. Wilson
201,52,488,2018,4:49,0.67,1.48,0.17,0.54,0.29,0.42,0.44,0.58,1.02,0.29,0.15,0.13,0.29,0.62,1.81,0.455,0.321,0.682,Guerschon Yabusele
202,81,489,2018,30:43,5.47,10.38,0.63,1.8,1.07,1.67,2.36,4.06,6.42,2.52,1.52,0.46,1.52,2.4,12.64,0.527,0.349,0.644,Thaddeus Young
203,59,493,2018,17:36,3.59,6.42,0.0,0.0,1.71,2.14,1.95,4.2,6.15,1.07,0.25,0.86,1.19,2.32,8.9,0.559,0.0,0.802,Ivica Zubac
204,11,1593,2018,12:13,1.64,3.27,0.0,0.0,0.27,0.27,1.09,3.91,5.0,1.0,0.27,0.73,0.73,2.0,3.55,0.5,0.0,1.0,Andrew Bogut
205,3,1988,2018,4:15,1.0,2.0,0.0,0.0,0.0,0.67,0.67,0.33,1.0,0.33,0.0,0.33,1.0,2.0,2.0,0.5,0.0,0.0,Donatas Motiejunas
206,7,2106,2018,6:10,0.43,1.0,0.14,0.14,0.0,0.0,0.57,2.29,2.86,0.57,0.14,0.14,0.71,1.29,1.0,0.429,1.0,0.0,Eric Moreland
207,30,2158,2018,13:14,0.87,2.1,0.3,0.93,0.43,0.5,0.23,1.37,1.6,0.97,0.77,0.1,0.57,1.27,2.47,0.413,0.321,0.867,Patrick McCaw
208,40,2175,2018,24:28,2.95,6.3,1.85,4.45,1.4,1.78,0.63,2.88,3.5,1.0,0.53,0.28,0.88,2.0,9.15,0.468,0.416,0.789,Danuel House Jr.
209,22,2215,2018,3:03,0.5,1.18,0.45,0.95,0.14,0.18,0.05,0.18,0.23,0.05,0.05,0.05,0.05,0.23,1.59,0.423,0.476,0.75,Malcolm Miller
